File Name,Company Name,Document Type,Date,Preferred Stock Type,Order of Priority,Liquidation Preference,Liquidation Multiple,Number of Preferred Stocks Issued,Original Issue Price
49_2006-01-30_Certificates of Incorporation,"A123 Systems, INC",Amended and Restated Certificate of Incorporation,2006-01-30,C,1,$3.371016,1,"8,899,395",$3.371016
49_2007-01-23_Certificates of Incorporation,"A123 Systems, INC",Amended and Restated Certificate of Incorporation,2007-01-23,A,1,$1.000000,1,"8,322,500",$1.000000
49_2007-01-23_Certificates of Incorporation,"A123 Systems, INC",Amended and Restated Certificate of Incorporation,2007-01-23,A-1,1,$1.500000,1,"2,925,000",$1.500000
49_2007-01-23_Certificates of Incorporation,"A123 Systems, INC",Amended and Restated Certificate of Incorporation,2007-01-23,B,1,$2.078192,1,"9,691,116",$2.078192
49_2007-01-23_Certificates of Incorporation,"A123 Systems, INC",Amended and Restated Certificate of Incorporation,2007-01-23,B-1,2,$3.330000,1,"1,499,992",$3.330000
49_2007-01-23_Certificates of Incorporation,"A123 Systems, INC",Amended and Restated Certificate of Incorporation,2007-01-23,C,1,$3.371016,1,"9,047,719",$3.371016
49_2007-01-23_Certificates of Incorporation,"A123 Systems, INC",Amended and Restated Certificate of Incorporation,2007-01-23,D,1,$6.560630,1,"6,096,976",$6.560630
49_2007-08-03_Certificates of Incorporation,"A123 Systems, INC",Amended and Restated Certificate of Incorporation,2007-08-03,A,1,$1.000000,1,"8,322,500",$1.000000
49_2007-08-03_Certificates of Incorporation,"A123 Systems, INC",Amended and Restated Certificate of Incorporation,2007-08-03,A-1,1,$1.500000,1,"2,925,000",$1.500000
49_2007-08-03_Certificates of Incorporation,"A123 Systems, INC",Amended and Restated Certificate of Incorporation,2007-08-03,B,1,$2.078192,1,"9,691,116",$2.078192
49_2007-08-03_Certificates of Incorporation,"A123 Systems, INC",Amended and Restated Certificate of Incorporation,2007-08-03,B-1,2,$3.330000,1,"1,499,992",$3.330000
49_2007-08-03_Certificates of Incorporation,"A123 Systems, INC",Amended and Restated Certificate of Incorporation,2007-08-03,C,1,$3.371016,1,"9,047,719",$3.371016
49_2007-08-03_Certificates of Incorporation,"A123 Systems, INC",Amended and Restated Certificate of Incorporation,2007-08-03,D,1,$6.560630,1,"10,669,708",$6.560630
49_2008-05-06_Certificates of Incorporation,"A123 Systems, INC",Amended and Restated Certificate of Incorporation,2008-05-06,A,1,$1.000000,1,"8,312,087",$1.000000
49_2008-05-06_Certificates of Incorporation,"A123 Systems, INC",Amended and Restated Certificate of Incorporation,2008-05-06,A-1,1,$1.500000,1,"2,925,000.00",$1.500000
49_2008-05-06_Certificates of Incorporation,"A123 Systems, INC",Amended and Restated Certificate of Incorporation,2008-05-06,B,1,$2.078192,1,"9,691,116",$2.078192
49_2008-05-06_Certificates of Incorporation,"A123 Systems, INC",Amended and Restated Certificate of Incorporation,2008-05-06,B-1,2,$3.330000,1,"1,493,065",$3.330000
49_2008-05-06_Certificates of Incorporation,"A123 Systems, INC",Amended and Restated Certificate of Incorporation,2008-05-06,C,1,$3.371016,1,"9,047,719",$3.371016
49_2008-05-06_Certificates of Incorporation,"A123 Systems, INC",Amended and Restated Certificate of Incorporation,2008-05-06,D,1,$6.560630,1,"10,669,708",$6.560630
49_2008-05-06_Certificates of Incorporation,"A123 Systems, INC",Amended and Restated Certificate of Incorporation,2008-05-06,E,1,$16.592300,1,"5,549,866.00",$16.592300
49_2008-06-12_Certificates of Incorporation,"A123 Systems, INC",Amended and Restated Certificate of Incorporation,2008-06-12,A,1,$1.000000,1,"8,312,087",$1.000000
49_2008-06-12_Certificates of Incorporation,"A123 Systems, INC",Amended and Restated Certificate of Incorporation,2008-06-12,A-1,1,$1.500000,1,"2,925,000",$1.500000
49_2008-06-12_Certificates of Incorporation,"A123 Systems, INC",Amended and Restated Certificate of Incorporation,2008-06-12,B,1,$2.078192,1,"9,691,116",$2.078192
49_2008-06-12_Certificates of Incorporation,"A123 Systems, INC",Amended and Restated Certificate of Incorporation,2008-06-12,B-1,2,$3.330000,1,"1,493,065",$3.330000
49_2008-06-12_Certificates of Incorporation,"A123 Systems, INC",Amended and Restated Certificate of Incorporation,2008-06-12,C,1,$3.371016,1,"9,047,719",$3.371016
49_2008-06-12_Certificates of Incorporation,"A123 Systems, INC",Amended and Restated Certificate of Incorporation,2008-06-12,D,1,$6.560630,1,"10,669,708",$6.560630
49_2008-06-12_Certificates of Incorporation,"A123 Systems, INC",Amended and Restated Certificate of Incorporation,2008-06-12,E,1,$16.592300,1,"6,152,554",$16.592300
59_2006-05-01_Certificates of Incorporation,"Abdominis, INC",Amended and Restated Certificate of Incorporation,2006-05-01,A,1,,1,"2,812,500.00",N/A
59_2006-05-01_Certificates of Incorporation,"Abdominis, INC",Amended and Restated Certificate of Incorporation,2006-05-01,S,1,,1,"500,000",N/A
59_2007-08-15_Certificates of Incorporation,"Reshape Medical, INC",Amended and Restated Certificate of Incorporation,2007-08-15,A,1,,1,"4,687,500",N/A
59_2007-08-15_Certificates of Incorporation,"Reshape Medical, INC",Amended and Restated Certificate of Incorporation,2007-08-15,S,1,,1,"500,000",N/A
63_2007-05-24_Certificates of Incorporation,"Ablation Frontiers, INC",Amended and Restated Certificate of Incorporation,2007-05-24,A,2,$0.600000,1,"6,645,002",$0.600000
63_2007-05-24_Certificates of Incorporation,"Ablation Frontiers, INC",Amended and Restated Certificate of Incorporation,2007-05-24,B,2,$1.400000,1,"10,767,857",$1.400000
63_2007-05-24_Certificates of Incorporation,"Ablation Frontiers, INC",Amended and Restated Certificate of Incorporation,2007-05-24,C,1,$2.000000,1,"11,000,000",$2.000000
66_2004-02-11_Certificates of Incorporation,"Above All Software, INC",Amended and Restated Articles of Incorporation,2004-02-11,A,1,$0.650000,1,"9,999,997",$0.650000
66_2004-02-11_Certificates of Incorporation,"Above All Software, INC",Amended and Restated Articles of Incorporation,2004-02-11,B,1,$0.810000,1,"15,361,728",$0.810000
77_2004-10-25_Certificates of Incorporation,"Accelchip, INC",Restated Certificate of Incorporation,2004-10-25,A,3,$10.000000,1,"263,538",$10.000000
77_2004-10-25_Certificates of Incorporation,"Accelchip, INC",Restated Certificate of Incorporation,2004-10-25,B,2,$1.430002,1,"6,584,488",$1.430002
77_2004-10-25_Certificates of Incorporation,"Accelchip, INC",Restated Certificate of Incorporation,2004-10-25,C,1,$0.770250,1,"9,000,000",$0.770250
81_2006-07-28_Certificates of Incorporation,"Acceleron Pharma, INC",Amended and Restated Certificate of Incorporation,2006-07-28,A,2,$1.000000,1,"26,211,980",N/A
81_2006-07-28_Certificates of Incorporation,"Acceleron Pharma, INC",Amended and Restated Certificate of Incorporation,2006-07-28,B,1,$1.850000,1,"17,500,000",N/A
81_2007-10-23_Certificates of Incorporation,"Acceleron Pharma, INC",Certificate of Amendment,2007-10-23,A,3,$1.000000,1,"26,069,980",N/A
81_2007-10-23_Certificates of Incorporation,"Acceleron Pharma, INC",Certificate of Amendment,2007-10-23,B,2,$1.850000,1,"16,944,378",N/A
81_2007-10-23_Certificates of Incorporation,"Acceleron Pharma, INC",Certificate of Amendment,2007-10-23,C,1,$2.600000,1,"11,923,077",N/A
81_2009-12-03_Certificates of Incorporation,"Acceleron Pharma, INC",Certificate of Amendment,2009-12-03,A,4,$1.000000,1,"26,069,980",N/A
81_2009-12-03_Certificates of Incorporation,"Acceleron Pharma, INC",Certificate of Amendment,2009-12-03,B,3,$1.850000,1,"16,944,378",N/A
